id,name,sport_type,start_date,distance_m,moving_time_s,elapsed_time_s,elev_gain_m,avg_speed_m_s,max_speed_m_s,avg_hr,max_hr,calories,visibility,private,gear_id,country,external_id,upload_id,polyline
15858041714,Evening Run,Run,2025-09-18T18:48:39Z,1338.4,691,704,16.4,1.937,2.318,125.2,137.0,,followers_only,False,,,garmin_ping_481722069745,16936524816.0,aie|FeqqKp@@bAF\ATDZXNVLv@El@K`@OT]Xc@Lg@DmBB]GSQSw@E[@y@HYL[JOTQXGVA|@?xAH^PVZJ`@Av@Mf@U`@QLYLaAJ}AB[BSKYc@Oo@AM@w@BYPc@f@_@^EbA@zAGH@\TPZHZBp@Ef@M^WX[Pa@J_@ByBDOC
15858041706,Evening Run,Run,2025-09-18T18:25:05Z,4760.1,990,1016,83.2,4.808,7.367,171.5,178.0,,followers_only,False,,,garmin_ping_481722062211,16936524835.0,uje|F_iqKTElC@`@I\ORSNWLg@B}@Ge@MQSO]IoCA_@DIBULQTSf@E\A\J|@Pj@PPXCr@@lAEj@Kb@[V]DMHk@Ba@C_@Ym@WMa@AcC?]@SFSNU`@Kv@@j@Lr@R`@HHxCEh@IZQPQXq@@M?y@GW]i@WIc@IkB@m@F_@RQRIZGl@Dj@Nz@X`@zA@dAE`@IZSX[LWLk@?[E[Qi@KMa@Kc@AqB?i@FSLQPMVKd@A\B\FZNb@V^NB|AAb@Ah@If@[X]DMHi@Gi@Mq@UWWM_@C_DF]LGFS\IVCh@BZThATGdDIVA^IRMLUHYBYGi@MUWSEI@CRJCD_ACiB@m@DSHQPEJE\?\HZLVVVGFl@CzCGf@[L_@@g@AKOk@U]AED?DBDLA@QIaEDSFOJKTEX?\DZNb@ZZ@FI?MGh@I~CGRGZYPa@@m@Mc@c@g@?ABAFBDR[Ge@?yCDIBQLO`@Ed@?JJf@DJV^BHIACA@EnBGh@En@?RGRKJUFWAu@CUKSQUAGDCFNAFC@OG]AoCDSDQJOPIVCX@\DZ`@t@C@MC?EF@jCIhAKRKLSH[B_@C[Oc@SYAI@?HN?HC@YKWCwBBi@HKDGFORELEj@@NJf@FJ
15858037420,Evening Run,Run,2025-09-18T17:25:35Z,3010.3,1038,1045,45.5,2.9,4.14,133.9,141.0,,followers_only,False,,,garmin_ping_481722020594,16936520302.0,qfe|FglqKoAGyA?KOAUDYNc@LQPMb@I|CCXFPJZf@Ll@Cb@In@W`@[T]Lg@DuB?WAWOMUKq@Ei@Bq@Xq@`@Y^IzCDb@N\d@@FHl@Av@Qj@WXe@Tc@DyBA]EMGWe@Qi@Ey@Lo@Ze@d@SrAEnA?f@JLJRXNn@?v@Qp@]`@_@Ri@HwB?s@CW}@OkA@KPu@^g@ZMl@AfC@f@ZTd@Fh@@TIl@Wd@a@^MFUB{CBc@C[_BCk@Hu@Vc@d@Yt@CfCD`@VRb@Fr@En@Sh@a@\_@PYBmDAIOOq@KeAHm@Xi@^YHCl@CjCBf@VPb@Hz@Gr@OX]^YRk@FoABo@Ag@BCAGSWsAAS
15846734151,Evening Run,Run,2025-09-17T18:53:32Z,2063.7,977,1154,33.3,2.112,9.12,129.5,155.0,,followers_only,False,,,garmin_ping_481370075268,16924941147.0,yke|FwmqKA`@D\FLFLTVZLXDd@Ax@Qr@AKBGAkA@QBg@CGBg@KOIOc@Io@AU?B@C@@H`@Pf@T\JJ\JL?|AEd@B^EIBKCG@c@Ca@Dg@C}@BIASIOQKQIg@@a@BZPt@HLTTLFh@D\?`BGT@FABEa@AUDkBFg@AOEWQUg@C}@Dl@Lb@RVXJL@lBK|@?BC[J_@?m@Bw@@M@SC[OMOMa@?MEO@S@\Rr@TXNFLBlAKbBCOFu@De@FaA@c@GSOSc@CWBo@BZNn@FLTJn@@rAAl@@DDIF]FiCDOAQJ
15846734146,Evening Workout,Workout,2025-09-17T18:22:55Z,0.0,1379,1379,0.0,0.0,0.0,87.1,106.0,,followers_only,False,,,garmin_ping_481370069315,16924941128.0,
15846734008,Evening Run,Run,2025-09-17T17:27:02Z,8009.0,2909,2972,125.5,2.753,3.525,126.8,139.0,,followers_only,False,,,garmin_ping_481370064756,16924940928.0,wke|FokqKKg@?WB]Rm@DE\W\E~A?p@Bb@DZVN\Jl@AXAXMb@]b@_@L_@HaCAc@C[]UcAAs@Ji@Ta@ROLEjD?L@d@RBDZp@Dn@Gr@M\e@\WJMBe@@gAAw@BYOYo@Oq@@o@BMTk@\YHCl@E`C?b@JHDZf@Hl@?p@CPKTY\k@Xm@DeBDm@IU[Ok@Gm@Bg@X}@FIXUf@ErA?hAFZPZ^Lx@?NIt@Ub@g@^g@LkC?a@IU]Qo@Is@Js@Tg@XS^K`@Al@Dx@Cf@D`@ZRd@DRBp@CZGPWb@c@Xi@Jc@BwAAe@EY[Su@Iw@Hi@Tg@VYHEf@CtBAZ@`@N`@l@Hj@@XCZQj@m@j@g@NwA@k@F[A_@Q_@oACS@w@Li@X[f@WvCCb@BXLX`@Ld@@\Cr@Qb@c@^a@Pe@DwC@[UK_@Mu@Ae@Lm@Te@^YHCb@AzBC^B^TZj@DJBf@?RMj@EJ]`@a@PSFsBBgAISSUcAEg@Di@Xo@^]LCVCnB@x@FZNPTHTHr@?PEVQj@a@^e@Re@ByC@AMl@BvB?VCb@MZWNWY^SNm@P_BFeACQGOOScACq@Nq@Vc@XKb@Gd@CjB@b@H`@^Nl@Ax@Qp@YX[Pa@J]@iCCWC[eBB}@@KPa@d@_@\CpBAf@@^LVRHLLf@Bh@If@KVc@`@_@RS@wABw@Ca@GSYOm@Ek@Dq@HWLSTS`@Ml@BjA?n@Bd@TVd@DT@d@G`@CNO\g@\KFSBM@kABuAIY[Oo@Eg@Bo@H_@JOJMZQr@C|AB|@J`@XLd@@r@If@S`@a@ZQJu@FgCBUQ[eACs@Di@Tc@`@[b@Gz@AhBF`@TT\Ff@Cj@?JOd@YZ]Rc@HyAAq@B[EOKGQQo@Ei@Du@Xk@ZSl@GvA@d@Cd@F^XDFNj@?l@Ih@Ub@a@ZKDYDgD@GCY]Ow@CY@e@DYRc@^Yh@GpA?BEqBNe@RQVOj@?j@
15835087195,Evening Run,Run,2025-09-16T18:41:28Z,2010.9,1109,1109,32.5,1.813,2.211,125.3,133.0,,followers_only,False,,,garmin_ping_481010003482,16912999072.0,ale|FwkqKGk@@e@Ja@NWTQXIjBAf@@`@BVPZVJXFd@A^Kj@OZWT[Lw@Ha@@_BA]QUmAEm@Fs@Vc@VWZCfCAR@ZFPLR^J\B\@`@Ur@SRc@Z]Fc@D}AB_@EWMMOIkAA_@@c@Le@TW\SZCvBCZ@LFZTNXF^B`@Ch@I^MPURg@Rm@FeCASWS_AE]?g@Da@NWRUZKdBCb@Gn@FXPRVNz@Cj@GZKXWZYJy@HoA@q@AWKSWIe@CgAB_@
15835087312,"un dia més viu, stay tuned perquè en res em moro",Run,2025-09-16T18:15:13Z,5304.5,1034,1178,85.7,5.13,6.36,168.2,175.0,,followers_only,False,,,garmin_ping_481010003643,16912999154.0,uje|F{hqKr@EdBC`@G`@MVSP[Nu@@OCK[{@MO[O]CcCD_@DWNYZITCX?XHt@Jp@FRDDF@ZAPI@ACAKJM@GAzAMlAGTCf@UTWDKHc@Ag@Q{@SYQKQCkBHg@Ae@FWPMRITGVAX@d@TpABHTNX?NIECg@@FBn@Eh@?fAE\Id@YLQJUHe@Ci@Ie@MSMOQIs@E_B?g@Dc@TU\KTCX@ZHt@Nz@DFH@RAPAJEg@?A?fACjA@`@EZMZSPUPm@@i@Oo@MWa@W]Cg@?mADo@Dc@VMNO`@CX?XBZFb@Pv@DFF@b@ALIY?MG@BlAKjA@^CRId@WLSFUFg@CWO_AOQOIUEQ?mBFg@B]HQJMNO`@Gb@AXPhALj@LDRCPGE@WEA@@@xCEf@Kd@UPOP_@FY@[Iq@Wk@]USCmDNSDa@ZKTEVCX@XHr@N~@NH\@LGECS?EABBXEj@CvAA\GZOPMRYJWDW@k@Ga@KW[[OEUA_DNSB[NONQ^Ed@?XRtALZBDXFPEIAOI~@EbBCHAx@[NOJULe@@YC[Oq@U[QI]AyCL[JYNMPQj@Dz@Hp@Lh@PFf@@BCC?ODKABCPCvBIh@If@UPQLSLq@Ag@EYS_@WUSC}B@g@Bg@H]d@KTCX?t@Jp@Jl@LHPBV?KAMG\Cj@Cv@Bd@A\KPKVWP]F[B[CYOe@U[OMQIc@EiAH{@@_@JYVMTGVEZBf@Lr@Nn@ZHH@LC
15835087183,Evening Run,Run,2025-09-16T17:12:58Z,3003.8,1141,1141,45.8,2.633,3.144,129.6,137.0,,followers_only,False,,,garmin_ping_481010004572,16912999138.0,{ke|F}jqKKm@@g@Hk@N]XWRG~AA~ABZPTZJb@Bn@Il@Ub@[X_@NuCHc@CUGIOWuA?i@Jo@Pa@^Wb@Eh@@tAAl@B^VR`@Hn@Cr@Sj@_@^a@Tq@DkBA]MYMOi@Kg@?o@Hi@FOX]^Kb@CvB@d@DHBXXN`@Fj@Cl@M^[^UPo@LgD?QSOk@Gk@Ag@Hm@Xc@b@SFAdCAh@Bd@TTd@Fp@Cl@Ob@W\a@Vk@HuA@}@EICW[W{AB_@F_@Vg@\UjAEpAAl@Fb@\V|@?d@Kn@W`@a@Xe@He@DoB?c@O]qAAk@Lw@Xc@^UNCrCCN@RFJHZf@Jh@Ap@Qj@Y^g@Xe@FaA?u@Bs@SKYG_@IcA@K
15823426327,Evening Run,Run,2025-09-15T18:55:48Z,1006.0,420,670,14.9,2.395,3.6,126.6,137.0,,followers_only,False,,,garmin_ping_480658349278,16901017431.0,ike|F_jqKG@Mc@Ms@Du@H_@LQ\WTGz@?^DhAC`@N`@b@Pr@?b@Gd@Sd@YR]Lc@Fi@?_ABc@AKCOQSc@Mm@Ao@B]DMVc@d@Y~BCx@DRJZ\Nh@?b@Ep@Uf@a@Ze@LkAFu@?a@CME[s@DP
